Volcano Name,Latitude,Longitude
Jailolo,1.08,127.439
Hiri,0.9,127.32
Gamalama,0.81,127.3322
Kie Matubu,0.6623,127.4029
Mare,0.57,127.4
Moti,0.454,127.411
Kie Besi,0.32,127.4
Tigalalu,0.07,127.42
Amasing,-0.5249,127.4956
Bibinoi,-0.761,127.725
Melebingoy,6.113,124.892
Matutum,6.3604,125.0765
Leonard Range,7.382,126.047
Makaturing,7.644,124.317
Ragang,7.691,124.507
Musuan,7.8765,125.0697
Camiguin,9.203,124.673
Kanlaon,10.4096,123.13
Cabalían,10.285,125.218
Biliran,11.523,124.535
Bulusan,12.769,124.056
Mayon,13.257,123.685
Iriga,13.458,123.451
Isarog,13.658,123.38
Banahaw,14.07,121.48
San Pablo Volcanic Field,14.12,121.3
Taal,14.0106,120.9975
Pinatubo,15.13,120.35
Cagua,18.222,122.123
Camiguin de Babuyanes,18.83,121.86
Didicas,19.077,122.202
Babuyan Claro,19.524,121.95
Iraya,20.469,122.01
Hainan Volcanic Field,19.905,110.229
Ly Son Group,15.38,109.12
"Cendres, Ile des",10.158,109.014
Popa,20.92,95.25
Tengchong,25.23,98.5
Kueishantao,24.841,121.953
Tatun Volcanic Group,25.178,121.553
Submarine Volcano NNE of Iriomotejima,24.57,123.93
Io-Torishima,27.881,128.223
Yokoatejima,28.797,128.997
Akusekijima,29.465,129.594
Suwanosejima,29.638,129.714
Nakanoshima,29.859,129.857
Kuchinoshima,29.968,129.926
Kuchinoerabujima,30.443,130.217
Kikai,30.793,130.305
Ata,31.22,130.57
Aira,31.5772,130.6589
Yonemaru-Sumiyoshiike,31.771,130.592
Kirishimayama,31.934,130.862
Fukue,32.657,128.849
Unzendake,32.761,130.299
Asosan,32.8849,131.085
Kujusan,33.086,131.249
Yufu-Tsurumi,33.282,131.39
Abu,34.4833,131.5167
Sanbesan,35.141,132.622
Izu-Tobu,34.9,139.098
Hakoneyama,35.233,139.021
Fujisan,35.361,138.728
Yokodake,36.087,138.32
Ontakesan,35.893,137.48
Hakusan,36.155,136.771
Norikuradake,36.106,137.554
Akandanayama,36.2,137.573
Yakedake,36.227,137.587
Midagahara,36.571,137.59
